id,name,area,price,property_fee,green_rate,floor_area_ratio,lon_gps,lat_gps
1,花惠社区,江岸区,21960,0.7,0.34,2.6,114.285059,30.610482
2,保利海上五月花,江夏区,13499,1.5,0.35,2.4,114.372117,30.409228
3,纯水岸东湖天樾小区,洪山区,36547,3.6,0.36,1.7,114.379652,30.58937
4,佳海茗苑,江岸区,21832,1.8,0.42,0.8,114.283946,30.64233
5,东亭花园,武昌区,17863,1,0.3,2.3,114.358714,30.571932
6,汉阳惠民苑,汉阳区,11250,0.5,0.33,1.26,114.164766,30.587558
7,金地格林东郡,洪山区,22571,2.95,0.35,3.73,114.400185,30.487735
8,远洋心汉口御峰,江汉区,17156,3.95,0.35,3.24,114.239419,30.616603
9,剑桥春天二期,洪山区,20495,1.8,0.4,2.2,114.412264,30.508967
10,沿海赛洛城四期,东西湖区,12675,1.5,0.39,1.66,114.152949,30.640228
11,新世界常青花园雁溪山,东西湖区,21996,3.5,0.351,2.5,114.241315,30.648347
12,新新花园,洪山区,17259,1.2,0.4,2.2,114.34541,30.5932
13,新长江香榭琴台,汉阳区,20394,1.9,0.5789,2.1,114.244632,30.548919
14,九坤五环华城,东西湖区,12870,1.4,0.4,2,114.134776,30.60993
15,天纵颐景康城,黄陂区,11237,1.4,0.37,2.8,114.257136,30.7231
16,京韵花园,洪山区,22422,1.5,0.325,4,114.34089,30.528938
17,九坤翰林苑,蔡甸区,10369,1.6,0.35,3.1,114.011963,30.576704
18,新长江香榭湾,江夏区,13718,2.5,0.52,2,114.318746,30.403643
19,宜化星都汇,江夏区,12261,1.98,0.361,2.56,114.308983,30.393469
20,鼎盛华城,江岸区,19323,1.4,0.4,2.4,114.295733,30.645748
21,泓悦府,洪山区,25293,2,0.35,3.2,114.338089,30.519113
22,金沙泊岸,武昌区,28646,2.95,0.3865,2.39,114.345545,30.577569
23,船舶广场,江岸区,18438,1.8,0.22,1.8,114.280799,30.58827
24,杨园变电社区,武昌区,17610,0.5,0.25,2.1,114.341887,30.601368
25,都会轩,江汉区,29736,4.5,0.225,4.77,114.280755,30.585915
26,金色港湾四期,蔡甸区,15957,0.8,0.4,1.1,114.174369,30.523754
27,常青花园二十七村,东西湖区,14985,0.8,0.36,1.83,114.234363,30.6362
