id,name,area,price,property_fee,green_rate,floor_area_ratio,lon_gps,lat_gps,geometry,count_primary_school,count_middle_school,count_primary_school_normalized,count_middle_school_normalized,score
93,中电广场尊荣国际,江汉区,21467,1.4,0.2232,9.7,114.274593,30.576444,POINT (12720989.503368584 3577863.6407413147),24,13,1.0,0.9285714285714286,1.9285714285714286
133,紫晶城,江汉区,22610,1.8,0.185,5.49,114.283609,30.583293,POINT (12721993.159897577 3578749.2357526436),21,13,0.875,0.9285714285714286,1.8035714285714286
25,都会轩,江汉区,29736,4.5,0.225,4.77,114.280755,30.585915,POINT (12721675.454070853 3579088.2843055627),18,12,0.75,0.8571428571428571,1.6071428571428572
40,台北名居,江岸区,17666,1.5,0.3,10.4,114.282155,30.593792,POINT (12721831.301357962 3580106.9075300884),13,14,0.5416666666666666,1.0,1.5416666666666665
23,船舶广场,江岸区,18438,1.8,0.22,1.8,114.280799,30.58827,POINT (12721680.352128448 3579392.815136979),16,12,0.6666666666666666,0.8571428571428571,1.5238095238095237
124,景福小区,江岸区,18296,0.8,0.359,2.96,114.287884,30.590413,POINT (12722469.050720718 3579669.9381579324),12,14,0.5,1.0,1.5
72,麟趾小区,江岸区,20080,0.8,0.3,3.0,114.29869,30.603054,POINT (12723671.96913823 3581304.7395298327),9,14,0.375,1.0,1.375
95,幸源雅城,江岸区,23013,2.0,0.3,5.0,114.284467,30.598704,POINT (12722088.672020677 3580742.150317834),10,13,0.4166666666666667,0.9285714285714286,1.3452380952380953
1,花惠社区,江岸区,21960,0.7,0.34,2.6,114.285059,30.610482,POINT (12722154.573159227 3582265.467514464),12,8,0.5,0.5714285714285714,1.0714285714285714
29,穗丰花园东区,江汉区,20013,0.5,0.35,4.3,114.274543,30.612795,POINT (12720983.937394043 3582564.643010386),12,7,0.5,0.5,1.0
67,葛洲坝城市花园,硚口区,30750,2.98,0.351,4.0,114.247743,30.57628,POINT (12718000.575040786 3577842.435845752),9,8,0.375,0.5714285714285714,0.9464285714285714
